,0
1002,ACA
1003,LSr
1004,ACA
1005,LSr
1006,ACA
1007,ACA
1008,LSr
1009,LSr
1010,LSr
1011,LSr
1012,LSr
1013,LSr
1014,ACA
1015,LSr
1016,LSr
1017,LSr
1018,LSr
1019,LSr
1020,LSr
1021,ACA
1022,ACA
1023,ACA
1024,LSr
1025,LSr
1026,ACA
1027,LSr
1028,ACA
1029,MOs
1030,ACA
1031,LSr
1032,ACA
1033,ACA
1034,LSr
1035,LSr
1036,ACA
1037,MOs
1038,LSr
1039,MOs
1040,LSr
1041,MOs
1042,LSr
1043,LSr
1044,LSr
1045,ACA
1046,ACA
1047,LSr
1048,LSr
1049,MOs
1050,ACA
1051,LSr
1052,LSr
1053,LSr
1054,LSr
1055,ACA
1056,ACA
1057,LSr
1058,LSr
1059,LSr
1060,LSr
1061,ACA
1062,LSr
1063,ACA
1064,LSr
1065,ACA
1066,LSr
1067,LSr
1068,ACA
1069,ACA
1070,LSr
1071,LSr
1072,LSr
1073,ACA
1074,MOs
1075,LSr
1076,ACA
1077,MOs
1078,MOs
1079,LSr
1080,LSr
1081,ACA
1082,LSr
1083,LSr
1084,ACA
1085,ACA
1086,LSr
1087,MOs
1088,ACA
1089,LSr
1090,MOs
1091,LSr
1092,LSr
1093,ACA
1094,ACA
1095,ACA
1096,ACA
1097,ACA
1098,ACA
1099,LSr
1100,LSr
1101,LSr
1102,LSr
1103,ACA
1104,MOs
1105,MOs
1106,ACA
1107,ACA
1108,LSr
1109,ACA
1110,ACA
1111,ACA
1112,LSr
1113,LSr
1114,LSr
1115,MOs
1116,LSr
1117,LSr
1118,ACA
1119,ACA
1120,LSr
1121,ACA
1122,LSr
1123,ACA
1124,LSr
1125,LSr
1126,ACA
1127,MOs
1128,LSr
1129,ACA
1130,LSr
1131,ACA
1132,LSr
1133,LSr
1134,ACA
1135,ACA
1136,LSr
1137,ACA
1138,ACA
1139,ACA
1140,LSr
1141,ACA
1142,ACA
1143,ACA
1144,LSr
1145,LSr
1146,LSr
1147,LSr
1148,LSr
1149,ACA
1150,LSr
1151,ACA
1152,ACA
1153,LSr
1154,ACA
1155,ACA
1156,ACA
1157,ACA
1158,ACA
1159,LSr
1160,LSr
1161,ACA
1162,MOs
1163,ACA
1164,LSr
1165,LSr
1166,LSr
1167,MOs
1168,LSr
1169,LSr
1170,ACA
1171,LSr
1172,LSr
1173,LSr
1174,ACA
1175,LSr
1176,LSr
1177,LSr
1178,ACA
1179,LSr
1180,ACA
1181,MOs
1182,ACA
1183,ACA
1184,LSr
1185,ACA
1186,MOs
1187,ACA
1188,LSr
1189,ACA
1190,LSr
1191,ACA
1192,LSr
1193,LSr
1194,LSr
1195,LSr
1196,LSr
1197,LSr
1198,LSr
1199,LSr
1200,LSr
1201,ACA
1202,LSr
1203,LSr
1204,LSr
1205,LSr
1206,ACA
1207,LSr
1208,LSr
1209,ACA
1210,ACA
1211,LSr
1212,LSr
1213,ACA
1214,LSr
1215,LSr
1216,MOs
1217,LSr
1218,LSr
1219,LSr
1220,ACA
1221,LSr
1222,LSr
1223,ACA
1224,ACA
1225,LSr
1226,LSr
1227,LSr
1228,LSr
1229,ACA
1230,MOs
1231,LSr
1232,MOs
1233,ACA
1234,ACA
1235,LSr
1236,LSr
1237,MOs
1238,ACA
1239,LSr
1240,ACA
1241,MOs
1242,LSr
1243,ACA
1244,LSr
1245,LSr
1246,MOs
1247,MOs
1248,ACA
1249,LSr
1250,LSr
1251,LSr
1252,LSr
1253,ACA
1254,LSr
1255,ACA
1256,LSr
1257,ACA
1258,ACA
1259,LSr
1260,LSr
1261,LSr
1262,LSr
1263,MOs
1264,LSr
1265,ACA
1266,ACA
1267,LSr
1268,ACA
1269,LSr
1270,MOs
1271,ACA
1272,LSr
1273,MOs
1274,MOs
1275,LSr
1276,LSr
1277,MOs
1278,MOs
1279,LSr
1280,LSr
1281,ACA
1282,LSr
1283,LSr
1284,LSr
1285,LSr
1286,LSr
1287,LSr
1288,ACA
1289,ACA
1290,LSr
1291,ACA
1292,LSr
1293,MOs
1294,ACA
1295,LSr
1296,LSr
1297,ACA
1298,MOs
1299,LSr
1300,ACA
1301,LSr
1302,LSr
1303,LSr
1304,LSr
1305,ACA
1306,MOs
1307,LSr
1308,MOs
1309,ACA
1310,LSr
1311,ACA
1312,LSr
1313,LSr
1314,LSr
1315,LSr
1316,ACA
1317,ACA
1318,ACA
1319,ACA
1320,LSr
1321,ACA
1322,MOs
1323,ACA
1324,LSr
1325,MOs
1326,LSr
1327,LSr
1328,LSr
1329,LSr
1330,LSr
1331,ACA
1332,ACA
1333,ACA
1334,ACA
1335,LSr
1336,ACA
1337,ACA
1338,LSr
1339,MOs
1340,LSr
1341,ACA
1342,LSr
1343,ACA
1344,ACA
1345,ACA
1346,ACA
1347,ACA
1348,LSr
1349,ACA
1350,LSr
1351,LSr
1352,MOs
1353,LSr
1354,LSr
1355,ACA
1356,LSr
1357,ACA
1358,LSr
1359,ACA
1360,MOs
1361,ACA
1362,ACA
1363,ACA
1364,ACA
1365,ACA
1366,LSr
1367,LSr
1368,MOs
1369,LSr
1370,MOs
